PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
161. Luke Schenn,Ottawa Senators,,UFA,27,D,,79,4,8,12,0,,-,-,-,-,-,,"$3,350,000","$3,600,000"
162. Brad Stuart,Ottawa Senators,M-NTC,UFA,37,D,,61,3,8,11,0,,-,-,-,-,-,,"$3,600,000","$3,600,000"
163. Francois Beauchemin,Los Angeles Kings,M-NTC,UFA,37,D,,70,4,13,17,0,,-,-,-,-,-,,"$3,500,000","$3,500,000"
164. Bryan Allen,St. Louis Blues,,UFA,36,D,,68,0,10,10,0,,-,-,-,-,-,,"$3,500,000","$3,500,000"
165. Kyle Turris,Buffalo Sabres,,UFA,27,C,,82,26,32,58,0,,-,-,-,-,-,,"$2,500,000","$3,500,000"
166. Kris Letang,Dallas Stars,,UFA,30,D,,37,11,11,22,0,,-,-,-,-,-,,"$3,500,000","$3,500,000"
167. Matt Stajan,Columbus Blue Jackets,,UFA,33,C,,63,14,19,33,0,,-,-,-,-,-,,"$2,500,000","$3,500,000"
168. Niklas Hjalmarsson,Arizona Coyotes,,UFA,30,D,,81,4,22,26,0,,-,-,-,-,-,,"$3,500,000","$3,500,000"
169. Scottie Upshall,Dallas Stars,"M-NTC, NMC",UFA,33,LW,,76,15,22,37,0,,-,-,-,-,-,,"$3,500,000","$3,500,000"
170. Nick Schultz,San Jose Sharks,,UFA,34,D,,69,0,5,5,0,,-,-,-,-,-,,"$3,600,000","$3,500,000"
171. Matt Duchene,Edmonton Oilers,,UFA,26,"C, LW",,71,23,47,70,0,,-,-,-,-,-,,"$3,750,000","$3,500,000"
172. Matt Cullen,Florida Panthers,,UFA,40,"C, LW",,77,10,29,39,0,,-,-,-,-,-,,"$3,000,000","$3,500,000"
173. David Desharnais,New York Rangers,,UFA,30,C,,79,16,36,52,0,,-,-,-,-,-,,"$3,500,000","$3,500,000"
174. Devan Dubnyk,Vegas Golden Knights,,UFA,31,G,,34,-,-,-,-,-,0,0,0,0.00,.000,,"$3,750,000","$3,500,000"
175. Michael Ryder,New Jersey Devils,,UFA,37,RW,,82,18,16,34,0,,-,-,-,-,-,,"$3,500,000","$3,500,000"
176. Rob Scuderi,Toronto Maple Leafs,M-NTC,UFA,38,D,,53,0,4,4,0,,-,-,-,-,-,,"$4,000,000","$3,375,000"
177. Johnny Oduya,Colorado Avalanche,M-NTC,UFA,35,D,,77,3,13,16,0,,-,-,-,-,-,,"$3,300,000","$3,375,000"
178. Dave Bolland,San Jose Sharks,,UFA,31,C,,23,8,4,12,0,,-,-,-,-,-,,"$3,375,000","$3,375,000"
179. Johnny Boychuk,Nashville Predators,M-NTC,UFA,33,D,,75,5,18,23,0,,-,-,-,-,-,,"$3,400,000","$3,366,667"
180. Alexander Steen,Colorado Avalanche,,UFA,33,"LW, C",,68,33,29,62,0,,-,-,-,-,-,,"$3,566,667","$3,362,500"
181. Rene Bourque,St. Louis Blues,M-NTC,UFA,35,LW,,63,9,7,16,0,,-,-,-,-,-,,"$4,000,000","$3,333,333"
182. Dan Girardi,Minnesota Wild,,UFA,33,D,,81,5,19,24,0,,-,-,-,-,-,,"$3,400,000","$3,325,000"
183. Trevor Daley,Montreal Canadiens,M-NTC,UFA,33,D,,67,9,16,25,0,,-,-,-,-,-,,"$3,500,000","$3,300,000"
184. Josh Bailey,Buffalo Sabres,,UFA,27,"LW, RW",,77,8,30,38,0,,-,-,-,-,-,,"$2,200,000","$3,300,000"
185. Artem Anisimov,New York Islanders,,UFA,29,"C, LW",,81,22,17,39,0,,-,-,-,-,-,,"$2,750,000","$3,283,333"
186. Clarke MacArthur,Edmonton Oilers,NMC,UFA,32,LW,,79,24,31,55,0,,-,-,-,-,-,,"$3,250,000","$3,250,000"
187. Patrik Berglund,New York Islanders,,UFA,29,"C, LW",,78,14,18,32,0,,-,-,-,-,-,,"$3,250,000","$3,250,000"
